id,cliente_id,modelo_id,ano_fabricacao,ano_modelo,placa,cor,renavam,valor_fipe
1,1,9,2021,2022,ABC-1234,Branco,12345678901,65000.00
2,2,5,2020,2021,DEF-5678,Prata,23456789012,72000.00
3,3,14,2019,2020,GHI-9012,Preto,34567890123,115000.00
4,4,1,2022,2023,JKL-3456,Vermelho,45678901234,82000.00
5,5,10,2020,2021,MNO-7890,Azul,56789012345,95000.00
6,6,15,2018,2019,PQR-1234,Branco,67890123456,145000.00
7,7,7,2021,2022,STU-5678,Cinza,78901234567,105000.00
8,8,16,2020,2021,VWX-9012,Preto,89012345678,118000.00
9,9,19,2021,2022,YZA-3456,Azul,90123456789,98000.00
10,10,13,2019,2020,BCD-7890,Branco,01234567890,155000.00
11,11,3,2022,2023,EFG-1234,Prata,11234567890,89000.00
12,12,8,2021,2022,HIJ-5678,Vermelho,21234567890,92000.00
13,13,17,2020,2021,KLM-9012,Cinza,31234567890,112000.00
14,14,11,2022,2023,NOP-3456,Branco,41234567890,88000.00
15,15,6,2019,2020,QRS-7890,Preto,51234567890,78000.00
16,16,20,2021,2022,TUV-1234,Azul,61234567890,62000.00
17,17,4,2020,2021,WXY-5678,Vermelho,71234567890,55000.00
18,18,18,2019,2020,ZAB-9012,Prata,81234567890,68000.00
19,19,2,2021,2022,CDE-3456,Branco,91234567890,74000.00
20,20,12,2018,2019,FGH-7890,Cinza,10234567890,48000.00
21,21,9,2020,2021,IJK-1234,Preto,12034567890,60000.00
22,22,5,2021,2022,LMN-5678,Azul,12304567890,75000.00
23,23,14,2022,2023,OPQ-9012,Branco,12340567890,120000.00
24,24,1,2019,2020,RST-3456,Prata,12345067890,79000.00
25,25,10,2021,2022,UVW-7890,Vermelho,12345607890,92000.00
26,26,15,2017,2018,XYZ-1234,Cinza,12345670890,138000.00
27,27,7,2020,2021,ABC-5679,Branco,12345678090,102000.00
28,28,16,2021,2022,DEF-5679,Preto,12345678900,115000.00
29,29,19,2019,2020,GHI-9013,Prata,22345678901,95000.00
30,30,13,2018,2019,JKL-3457,Azul,32345678901,148000.00
31,31,3,2021,2022,MNO-7891,Vermelho,42345678901,86000.00
32,32,8,2020,2021,PQR-1235,Branco,52345678901,90000.00
33,33,17,2019,2020,STU-5679,Cinza,62345678901,108000.00
34,34,11,2021,2022,VWX-9013,Preto,72345678901,85000.00
35,35,6,2022,2023,YZA-3457,Azul,82345678901,80000.00
36,36,20,2020,2021,BCD-7891,Prata,92345678901,64000.00
37,37,4,2019,2020,EFG-1235,Vermelho,02345678901,52000.00
38,38,18,2021,2022,HIJ-5679,Branco,13345678901,70000.00
39,39,2,2020,2021,KLM-9013,Cinza,14345678901,71000.00
40,40,12,2019,2020,NOP-3457,Preto,15345678901,46000.00
41,41,9,2022,2023,QRS-7891,Azul,16345678901,67000.00
42,42,5,2021,2022,TUV-1235,Prata,17345678901,74000.00
43,43,14,2019,2020,WXY-5679,Branco,18345678901,112000.00
44,44,1,2020,2021,ZAB-9013,Vermelho,19345678901,80000.00
45,45,10,2021,2022,CDE-3457,Cinza,10345678901,94000.00
46,46,15,2018,2019,FGH-7891,Preto,12245678901,140000.00
47,47,7,2020,2021,IJK-1235,Azul,12445678901,104000.00
48,48,16,2022,2023,LMN-5679,Branco,12545678901,120000.00
49,49,19,2021,2022,OPQ-9013,Prata,12645678901,99000.00
50,50,13,2019,2020,RST-3457,Vermelho,12745678901,152000.00
